bin_id,submission_id,greens_pounds,greens_gallons,browns_gallons,red_line,bin_type
1,1,10,2,5,FALSE,1
2,2,5,2,10,TRUE,1
3,3,4.3,2,4,FALSE,1
4,4,5.1,0.5,1,FALSE,1
5,5,15,2,4,FALSE,1
6,7,4.4,1,0,FALSE,1
7,8,15,3.5,7,TRUE,1
8,9,19.9,3,6,FALSE,1
9,10,5.7,1,2,FALSE,1
10,11,8.7,2,2,FALSE,1
11,12,7.8,1.75,3.5,TRUE,1
12,13,8,2,5,TRUE,1
13,14,5.8,2,4,TRUE,1
14,15,16,3,6,TRUE,1
15,16,15,2,4,TRUE,1
16,22,38.5,5,7,TRUE,1
17,24,18,4,,FALSE,1
18,25,22.2,4,0,FALSE,1
19,26,5.5,2,0,TRUE,1
20,27,10.9,2,0,TRUE,1
21,28,28.2,4,9,FALSE,1
22,29,45,7,0,TRUE,1
23,44,13.5,4,0,FALSE,1
24,45,21,3,6,FALSE,1
25,49,21.5,4,8,TRUE,1
26,50,5.4,1,2,TRUE,1
27,55,4.9,1,2,TRUE,1
28,58,3,0.5,2,FALSE,1
29,60,0,0,15,FALSE,1
30,63,4.2,0.75,1.5,FALSE,1
31,64,16.5,4,9,FALSE,1
32,70,12.2,2,4,FALSE,1
33,71,3.1,0.5,3,FALSE,1
34,73,16,4,8,FALSE,1
35,74,8,2,4,FALSE,1
36,75,4,0.75,3,FALSE,1
37,76,4.1,1,2,FALSE,1
38,77,28.6,4,8,FALSE,1
39,79,10.9,1.5,3,FALSE,1
40,80,31.1,5,10,FALSE,1
41,81,10.6,3,7,FALSE,1
42,82,6.8,1,2,FALSE,1
43,83,16.4,3,6,FALSE,1
44,86,21.8,2.5,5,FALSE,1
45,88,3.9,1,2,FALSE,1
46,89,11.8,3,7,FALSE,1
47,90,31.2,5,10,FALSE,1
48,92,7.7,2,4,FALSE,1
49,98,10,2,4,FALSE,1
50,99,6.4,1,4,FALSE,1
51,100,9.2,2,5,FALSE,1
52,102,89.6,15,30,FALSE,1
53,106,32,5,10,TRUE,1
54,108,22,3,6,TRUE,1
55,109,12.8,2,4,TRUE,1
56,111,11.3,2,0,TRUE,1
57,130,16.7,2.5,5,FALSE,1
58,131,3,1,3,FALSE,1
59,132,22.7,3.5,7,FALSE,1
60,133,4,0,12,FALSE,1
61,135,11.6,4,8,FALSE,1
62,137,2.8,2.5,5,FALSE,1
63,138,6.6,2,4,FALSE,1
64,139,29,3.5,7,FALSE,1
65,140,4.5,1,3,FALSE,1
66,141,9.2,5,10,FALSE,1
67,142,25.2,3.5,7,FALSE,1
68,143,13.5,6,12,FALSE,1
69,145,10,2,4,FALSE,1
70,146,15,4,15,FALSE,1
71,147,17,3,6,FALSE,1
72,148,6.6,1,3,FALSE,1
73,149,5.5,2,4,FALSE,1
74,150,43.8,7.5,15,FALSE,1
75,151,10.5,2.5,5,FALSE,1
76,152,20,2.5,5,FALSE,1
77,153,9.6,2,4,FALSE,1
78,154,22,2.5,5,FALSE,1
79,155,9.1,1,4,FALSE,1
80,156,4.1,0.5,3,FALSE,1
81,157,9.2,4,8,FALSE,1
82,158,12,5,10,FALSE,1
83,159,1,1,2,FALSE,1
84,160,26,4,4,FALSE,1